P-mfzk9ijte2,Pizza,Frango com catupiry (Inteira),Frango + Catupiry,45.00,Inteira
P-mfzk9ijtql,Pizza,Calabresa (Inteira),Calabresa tradicional,45.00,Inteira
P-mfzk9ijtep,Pizza,Quatro queijos (Inteira),Queijos variados,45.00,Inteira
P-mfzk9ijtpj,Pizza,Portuguesa (Inteira),Presunto; ovo; cebola,45.00,Inteira
P-mfzk9ijtpu,Pizza,Meia-Meia 12p (2 sabores),Escolha 2 sabores,50.00,Meia/Meia
P-mfzk9ijtdr,Pizza,8 pedaços (Meia),Opção 8 pedaços,30.00,8p
P-mfzk9ijtn3,Pizza,Nutella com morango (Inteira),Pizza doce,45.00,Inteira
P-mfzk9ijt7u,Pizza,Doce de Leite (Inteira),Pizza doce,45.00,Inteira
P-mfzk9ijtbx,Pizza,Prestigio (Inteira),Pizza doce,45.00,Inteira
P-mfzk9ijtel,Pizza,Romeu e Julieta (Inteira),Pizza doce,45.00,Inteira
P-mfzk9ijt8n,Bebida,Coca-Cola Lata,350ml,6.00,Lata
P-mfzk9ijtn0,Bebida,Guaraná 2L,2 litros,12.00,2L
P-mfzk9ijt40,Bebida,Água sem gás 500ml,500ml,4.00,500ml
P-mfzk9ijtlq,Bebida,Coca-Cola 2L,2 litros,12.00,2L
P-mfzk9ijtf9,Bebida,Guarana Lata,350ml,6.00,Lata
